MEDIA;TITULO;TIPO;DESCRIPCION;LINK;PARAMETERS;TAGS
Integradores;Simulación de escenas de dinámica con diversos integradores numéricos;gyp;"En este vídeo se muestran diversos ejemplos de escenas de dinámica básica en los que se han probado diferentes integradores numéricos a la hora de calcular posiciones, velocidades y aceleraciones. El comportamiento de dichos integradores se ha documentado para dos de las escenas en la memoria siguiente: <a href=""https://khaido.site/media/memorias/SIMPractica1MemoriaAntonioAlcaraz.pdf""> Memoria del proyecto </a>";https://www.youtube.com/embed/NRtYuzGdK24;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java,memoria
Coche;Moviendo un coche a partir del control de la energía cinética;gyp;En este escenario, se simula el movimiento de un coche a partir de su motor de forma mecánica basándonos únicamente en fórmulas de energía y potencia. <br>Los valores de energía cinética obtenidos actualizan un módulo de velocidad. <br> El vector director es alterado por un ángulo redefinido cuando pulsamos a las teclas de dirección. <br> El resto son cuestiones de gráficos, pilas de matrices de traslación y rotación... Para visualizar el coche.;https://www.youtube.com/embed/GEfYvjB4Vl8;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java
Fireworks;Simulación de fuegos artificiales (emisor y sistema de partículas);gyp;"Durante esta práctica se ha pretendido trabajar el desarrollo de sistemas de partículas a través de la simulación de un castillo de fuegos artificiales. De forma que al presionar en la pantalla se lanza un proyectil en esa dirección que explota tras un tiempo de vida, liberando un determinado número de partículas extra definidas en código, constando todas ellas de un tiempo de vida también, y viéndose afectada esta clase Partícula que las define por la fuerza de la gravedad y el viento: <a href=""https://khaido.site/media/memorias/SIMPractica2MemoriaAntonioAlcaraz.pdf""> Memoria del proyecto </a>";https://www.youtube.com/embed/lrrbuEieiSY;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java,memoria
Agua;Simulación de partículas flotantes (emisor y sistema de partículas);gyp;En base al código realizado para el proyecto de fuegos artificiales (memoria y vídeo disponible en la web), con unas cuantas modificaciones podemos obtener un emisor de gotas de agua que, al llegar a cierta altura de la pantalla, exploten en numerosas partículas flotantes. <br> Con un par de condiciones podemos cambiar su aspecto para que el color no se solape con el definido para el agua.;https://www.youtube.com/embed/_N-0_wOXosU;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java
Humo;Generación de humo 2D (emisor y sistema de partículas);gyp;Este caso es un ejemplo sencillo. <br> Introducidmos una imagen de tronco que sigue la posición del mouse. <br> Al hacer click, el emisor de partículas comienza a generar partículas de humo. <br> Estas partículas mantienen una velocidad inicial aleatoria pero ascendente en el eje Y, dibujándose de color blanco con una textura amorfa de bordes atenuados, y cuyo valor alfa depende del tiempo de vida de la partícula. <br> La partículas responden gracias a los integradores a una fuerza constante del viento, como en los otros ejemplos de la web.;https://www.youtube.com/embed/gcbhtYaKYpw;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java
Billar;Billar mediante sistema de colisiones por velocidades;gyp;"Esta simulación se trata de un billar francés, aunque las texturas utilizadas son de un billar común y, de hecho, se ha tratado de implementar parcialmente la posibilidad de jugar a este último juego. Las colisiones se llevan a cabo mediante un modelo de velocidades descrito en la memoria: <a href=""https://khaido.site/media/memorias/SIMPractica3MemoriaAntonioAlcaraz.pdf""> Memoria del proyecto </a>";https://www.youtube.com/embed/XLpMUB8M2AU;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java,memoria
Cubeta;Cubeta con fluidos mediante sistema de colisiones por muelles;gyp;"En esta simulación se generan partículas encerradas en una cubeta que interaccionan entre sí mediante un modelo de colisión de muelles. Diversas descripciones del mismo modelo y de los elementos de la simulación se encuentran en el vídeo y en su memoria: <a href=""https://khaido.site/media/memorias/SIMPractica3MemoriaAntonioAlcaraz.pdf""> Memoria del proyecto </a>";https://www.youtube.com/embed/cRfMRARgonU;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java,memoria
MallasDeformables;Simulación de mallas deformables;gyp;"A lo largo de esta práctica se han implementado y probado diferentes estructuras de datos que pretenden simular mallas deformables con la posibilidad de efectos como la amortiguación, la rotura o la indestructibilidad. Más información en la memoria realizada para este proyecto, ya que el vídeo es un anexo de la misma: <a href=""https://khaido.site/media/memorias/SIMPractica4MemoriaAntonioAlcaraz.pdf""> Memoria del proyecto </a>";https://www.youtube.com/embed/CbUxILXqz54;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java,memoria
Bandera;Bandera de Almería (malla deformable);gyp;Utilizando como base el código desarrollado para el proyecto de simulación de mallas deformables (memoria y vídeo disponible en la web) se ha realizado esta pequeña escena. <br> En ella la malla cuelga solo de dos extremos alineados con el eje común a la gravedad. <br> Se introduce una fuerza constante de viento cuyo vector director apunta aproximadamente en la misma dirección todo el rato, con ciertas alteraciones aleatorias. <br> La fuerza del viento actúa sobre las partículas según operaciones de producto escalar que evalúan la orientación relativa de su vector con el ortogonal de dichas partículas en su superficie. <br> Sobre la estructura deformable se mapea una textura perteneciente a la bandera del título.;https://www.youtube.com/embed/KcKSiDRzygM;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java
Pelo;Cabello (tiras de partículas unidas por muelles);gyp;Utilizando como base el código desarrollado para el proyecto de simulación de mallas deformables (memoria y vídeo disponible en la web) se ha realizado esta pequeña escena. <br> En ella no contamos con una malla, sino con cuerdas formadas por partículas unidas de par en par hasta acabar en una con posición bloqueada. <br> Los cabellos son solo susceptibles a la gravedad y se dibujan lineas coincidentes con los extremos de los muelles generados. <br> En caso de bloquear la cámara. Se han programado unas funciones para jugar con las coordenadas del mundo y de la pantalla y activar el evento de click correctamente.;https://www.youtube.com/embed/DKtX5WQ4m4s;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java
ondas;Simulación de ondas sobre superficies: editor de superficies y medusa;gyp;"A lo largo de esta práctica se ha implementado un mapa de alturas cuyos vértices pueden sufrir cambios en su posición a través de la aplicación de funciones de onda de tiempo y espacio. Para su estudio, en una primera parte, se ha realizado una interfaz visual para la creación de ondas directamente mediante la interacción con la simulación, y en una segunda hemos tratado de simular algún fenómeno real mediante esta metodología, en este caso el movimiento de una medusa. Más información en la memoria realizada para este proyecto, ya que el vídeo es un anexo de la misma: <a href=""https://khaido.site/media/memorias/SIMPractica5MemoriaAntonioAlcaraz.pdf""> Memoria del proyecto </a>";https://www.youtube.com/embed/ZeARgeTKpdA;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java,memoria
motores;"Pequeña demostración del motor 2D ""Física"": Angry Birds";gyp;"Este vídeo se trata de la documentación de una serie de ejercicios realizados en torno a ""Física"", una librería para Processing, con el objetivo de comprender el funcionamiento básico de los motores de físicas basados en sólido rígido. En ellos se testea una serie de movimientos y situaciones y finalmente se realiza una emulación de las físicas del juego Angry Birds, para completar la exploración de la librería y afianzar conocimientos.";https://www.youtube.com/embed/8BYZwO-ujkI;?rel=0&modestbranding=1&autoplay=1&loop=1;processing,java
BYO_PROMO;BYO: Build Your Odes - TEASER y EXPO (App);video;Se trata de un spot publicitario con una pequeña animación y una exposición de un concepto de aplicación móvil para gamificar las actividades cotidianas y promover un estilo de vida abierto y completo en experiencias.;https://www.youtube.com/embed/Rpnrl28HH_0;?rel=0&modestbranding=1&autoplay=1&loop=1;documental,promocional,ficción
Hyperspace;Hyper-Space Alien (By HEXAGØNAL);video;Videoclip desarrollado en 2019. Primer trabajo manejando reflex por parte de KHAIDO y utilizando software de Adobe.;https://www.youtube.com/embed/GYtrCIvpkpY;?rel=0&modestbranding=1&autoplay=1&loop=1;videoclip
AveMariaGhost;Ave Maria Ghost - Official Teaser (Bisbal ft. Zarcort, Peter - G & Michael Jackson);audio;Una pequeña broma interna que se fue de madre. Disfrútalo.;https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1120941325%3Fsecret_token%3Ds-ImJiSIDfKQv&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true;;música
CaminoAlEden;El Camino al Edén - Primera Parte;audio;Narración que cuenta una serie de sucesos oníricos desde una perspectiva en primera persona. Producida en Reaper.;https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/888735295%3Fsecret_token%3Ds-fGlqVBE1dr5&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true;;video-narración
Mirate;Mírate (Cortometraje sobre la adicción);video;El protagonista nos va a contar un episodio de su vida, el cuál sirve como síntesis del principal problema de la dependencia.;https://www.youtube.com/embed/7k2Ejmzkmys;?rel=0&modestbranding=1&autoplay=1&loop=1;cortometraje
CaminoDeLosDemonios;El Camino de los Demonios (Cortometraje);video;Un joven tiene una conversación consigo mismo mientras viaja por distintas localizaciones de su mente. Trata de resolver un problema que le ronda, pero  las cosas no terminan de funcionar como él se lo espera. El objetivo de este corto, a líneas generales, es alegorizar el punto de vista de la persona afectada una forma de ansiedad que le llevaría a una continua desconfianza social y autoexigencia. El joven llega a unas conclusiones que le permiten darle a la vida, por dolorosa que sea, un valor, lo que le mantiene con suficiente fuerza de voluntad para afrontarla, despertar de su trance y librarse de un destino fatal.;https://www.youtube.com/embed/IF8UR4wDNIg;?rel=0&modestbranding=1&autoplay=1&loop=1;cortometraje
Expo2064Short;Diseño, programación e iluminación de entorno 3D en Unity (versión de 1 minuto);gyp;"Este vídeo incluye una pequeña demostración del entorno diseñado, así como una pequeña grabación de un Shader de Chroma Key improvisado a partir de otros shaders programados para la escena. Escena y vídeo montados por Antonio Alcaraz (Khaido) y Saúl Abreu.  <a href=""https://www.youtube.com/channel/UCK-On3vTVhAWUmgGjLWYwIg"">Enlace a su canal.</a>";https://www.youtube.com/embed/aFs1-giVjFE;?rel=0&modestbranding=1&autoplay=1&loop=1;unity,C sharp,HLSL,promocional
Expo2064Long;Diseño, programación e iluminación de entorno 3D en Unity (exposición);gyp;"Este vídeo incluye la exposición de los elementos creados para el entorno creado en Unity. Escena y vídeo montados por Antonio Alcaraz (Khaido) y Saúl Abreu. <a href=""https://www.youtube.com/channel/UCK-On3vTVhAWUmgGjLWYwIg"">Enlace a su canal.</a>";https://www.youtube.com/embed/OthhmNsesPs;?rel=0&modestbranding=1&autoplay=1&loop=1;unity,C sharp,HLSL,documental
Lenon;Accesibilidad y daltonismo - Lenon;video;Pequeño vídeo que propone, basándose en la documentación y recomendaciones de accesibilidad y entornos de usuario, mejoras de las interfaces gráficas para personas con daltonismo.;https://www.youtube.com/embed/yeFvlPdcIak;?rel=0&modestbranding=1&autoplay=1&loop=2;documental
Car;Manejando un turismo en un escenario 3D sencillo con parkings (THREE.js);gyp;Una pequeña escena en la que podremos manejar un coche, programada mediante la libreria Three.js. A través de un archivo remoto JSON se cargan unos datos perteneciente a las posiciones y espacio total y disponible en unos parkings. Se programan unos scripts para reducir (si se acerca el coche) o aumentar (si se aleja) las plazas en los mismos al mismo tiempo que, según el espacio disponible, se cambia el color de la numeración. Se programa una versión sencilla de mundo infinito mediante el cambio de posición del coche una vez llegado a unos límites. Controles: <br> Cambiar plano (seguimiento o general): C <br> Ver posición de la cámara: P <br> Rotar cámara (de seguimiento): arrastrar el mouse <br> Mover el coche: flechas direccionales.;./media/CAR/;;DOM,javascript
Calendario;Generador de calendario personal para grupos y optativas de Ingeniería Multimedia (ETSE-UV 3º/4º);gyp;Calendario personalizable realizado para la selección de optativas, asignaturas y grupos de 4º de Ingeniería Multimedia (ETSE-UV). El horario es producido mediante la librería D3.js y un archivo JSON que incluye todos los datos de cada asignatura o grupo de la asignatura. Estos datos se extrajeron mediante scripts, pero por falta de presupuesto y tiempo no se documentaron, ordenaron y optimizaron, y el objetivo de este calendario en caso contrario habría sido universalizarlo para que cualquier alumno universitario pudiese construir su horario para la carrera. Actualmente el alumno tiene la posibilidad de marcar y desmarcar los grupos de interés y descargar en HTML estático una copia del calendario creado.;./media/ASIGNATURAS/;;DOM,javascript
Editor;Editor de escena 3D sencillo, con figuras geométricas (X3DOM);gyp;"Pequeña práctica de X3DOM. Puedes crear y modificar (tamaño, color y posición) de diversas figuras geométricas mediante dos selectores: el selector verde es el ""creador"", y el selector rojo (aparece al pulsar una figura si no está encima el selector verde) es el ""editor"". Los cambios son visibles en tiempo real.";./media/EDITOR3D/;;DOM,javascript
Molecula;Simulador de molécula (Three.js graph);gyp;Mediante el uso de Three.js con sus utilidades para gráfos y un JSON personalizable (se puede programar cualquier molécula que conste de carbono, nitrógeno, hidrógeno u oxígeno con enlaces unitarios o dobles). Puedes cambiar la escala y la separación de los nodos. Se reducen las llamadas a la función de redibujado mediante el paso intermedio de un intervalo de tiempo en JS.;./media/MOLECULA/;;DOM,javascript
Pong;Emulador de PONG para navegador (PC);gyp;"Introduce tu nombre, el de otra persona, el tamaño de las palas y la velocidad de la bola (recomendamos 10 y 5 respectivamente). El juego es infinito y puedes reiniciarlo cuando quieras en el botón de ""reload"" de la parte inferior (aparece tras pulsar el de ""play"" por primera vez)";./media/PONG/;;DOM,javascript
Space;Viaje espacial minimalista (SVG & JS);gyp;Únicamente mediante modelos y programación en SVG y animaciones del DOM (css,html,js…) se da una animación de un cometa surcando el espacio. La posición y cantidad de estrellas y planetas (de estos también el tipo) que aparecen se calcula a través de variables aleatorias. Puedes mover el cometa en el eje Y, aunque es un elemento más bien visual, no tiene ninguna utilidad.;./media/SPACE/;;DOM,javascript